state,value
Alabama,4.5
Alaska,0
Arizona,2
Arkansas,2.2
California,5.3
Colorado,1.5
Connecticut,38
Delaware,22
District of Columbia,100
Florida,14.3
Georgia,8.7
Hawaii,6.2
Idaho,0.6
Illinois,7.2
Indiana,7.2
Iowa,1.8
Kansas,1.2
Kentucky,3.7
Louisiana,4.7
Maine,1.2
Maryland,21.1
Massachusetts,38.8
Michigan,6.5
Minnesota,2.2
Mississippi,2.4
Missouri,3.1
Montana,0.2
Nebraska,0.7
Nevada,0.7
New Hampshire,7.4
New Jersey,40.1
New Mexico,0.7
New York,8.7
North Carolina,9.9
North Dakota,0.3
Ohio,11
Oklahoma,1.9
Oregon,1.2
Pennsylvania,10.7
Rhode Island,39
South Carolina,8.3
South Dakota,0.3
Tennessee,7.3
Texas,3.5
Utah,1.2
Vermont,1.7
Virginia,6.9
Washington,3.7
West Virginia,2.7
Wisconsin,3.6
Wyoming,0.2